epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step
0.15594541910331383,,,,,6.304736614227295,0.0001,2.6238,5
0.31189083820662766,,,,,1.1644127368927002,9.450549450549451e-05,2.4329,10
0.4678362573099415,,,,,1.1128759384155273,8.901098901098901e-05,2.3442,15
0.6237816764132553,,,,,0.9202139377593994,8.351648351648353e-05,2.3462,20
0.7797270955165692,,,,,0.9423723816871643,7.802197802197802e-05,2.2079,25
0.935672514619883,,,,,1.0566563606262207,7.252747252747253e-05,2.16,30
0.9980506822612085,2.145855188369751,70.2982,1.366,1.366,,,,32
1.0916179337231968,,,,,1.2686594724655151,6.703296703296703e-05,2.0522,35
1.2475633528265107,,,,,1.335148572921753,6.153846153846155e-05,1.9836,40
1.4035087719298245,,,,,1.2294232845306396,5.604395604395605e-05,1.9072,45
1.5594541910331383,,,,,1.4043534994125366,5.054945054945055e-05,1.8137,50
1.7153996101364521,,,,,1.4448423385620117,4.505494505494506e-05,1.7238,55
1.871345029239766,,,,,1.5750447511672974,3.956043956043956e-05,1.6193,60
1.996101364522417,1.5784950256347656,66.0048,1.454,1.454,,,,64
2.02729044834308,,,,,1.6148045063018799,3.406593406593407e-05,1.5503,65
2.1832358674463936,,,,,1.6215068101882935,2.857142857142857e-05,1.4832,70
2.3391812865497075,,,,,1.5974793434143066,2.307692307692308e-05,1.4405,75
2.4951267056530213,,,,,1.715782880783081,1.7582417582417584e-05,1.3692,80
2.651072124756335,,,,,1.7013473510742188,1.2087912087912089e-05,1.327,85
2.807017543859649,,,,,1.670574426651001,6.5934065934065935e-06,1.2826,90
2.962962962962963,,,,,1.6381601095199585,1.098901098901099e-06,1.2479,95
2.9941520467836256,1.3046842813491821,66.3921,1.446,1.446,,,,96
